23N16233	23N16233	Cluster_1
23N16235	23N16235	Cluster_1
23N16237	23N16237	Cluster_1
23N16238	23N16238	Cluster_1
23N16239	23N16239	Cluster_1
23N16240	23N16240	Cluster_1
23N16241	23N16241	Cluster_1
23N16242	23N16242	Cluster_1
23N16243	23N16243	Cluster_1
23N16244	23N16244	Cluster_1
24N02336	24N02336	Cluster_2
24N02337	24N02337	Cluster_2
24N02338	24N02338	Cluster_2
24N02339	24N02339	Cluster_2
24N02340	24N02340	Cluster_2
24N02341	24N02341	Cluster_2
24N02342	24N02342	Cluster_2
24N02343	24N02343	Cluster_2
24N02344	24N02344	Cluster_2
24N02345	24N02345	Cluster_2
24N02346	24N02346	Cluster_2
24N02347	24N02347	Cluster_2
24N02348	24N02348	Cluster_3
24N02349	24N02349	Cluster_3
24N02350	24N02350	Cluster_3
24N02352	24N02352	Cluster_3
24N02353	24N02353	Cluster_3
24N02354	24N02354	Cluster_3
24N02358	24N02358	Cluster_3
24N02359	24N02359	Cluster_3
24N02360	24N02360	Cluster_4
24N02362	24N02362	Cluster_4
24N02363	24N02363	Cluster_4
24N02365	24N02365	Cluster_4
24N02366	24N02366	Cluster_4
24N02367	24N02367	Cluster_4
24N02368	24N02368	Cluster_4
24N02369	24N02369	Cluster_4
24N02371	24N02371	Cluster_4
24N02397	24N02397	Cluster_5
24N02398	24N02398	Cluster_5
24N02399	24N02399	Cluster_5
24N02401	24N02401	Cluster_5
24N02402	24N02402	Cluster_5
24N02403	24N02403	Cluster_5
24N02404	24N02404	Cluster_5
24N02406	24N02406	Cluster_5
24N02407	24N02407	Cluster_5
24N02408	24N02408	Cluster_5
24N02440	24N02440	Cluster_6
24N02441	24N02441	Cluster_6
24N02442	24N02442	Cluster_6
24N02443	24N02443	Cluster_6
24N02444	24N02444	Cluster_6
24N02445	24N02445	Cluster_6
24N02446	24N02446	Cluster_6
24N02447	24N02447	Cluster_6
24N02448	24N02448	Cluster_6
24N02449	24N02449	Cluster_6
24N02450	24N02450	Cluster_6
24N02451	24N02451	Cluster_6
24N02480	24N02480	Cluster_7
24N02481	24N02481	Cluster_7
24N02482	24N02482	Cluster_7
24N02483	24N02483	Cluster_7
24N02484	24N02484	Cluster_7
24N02485	24N02485	Cluster_7
24N02486	24N02486	Cluster_7
24N02487	24N02487	Cluster_7
24N02488	24N02488	Cluster_7
24N02497	24N02497	Cluster_8
24N02499	24N02499	Cluster_8
24N02500	24N02500	Cluster_8
24N02502	24N02502	Cluster_8
24N02503	24N02503	Cluster_8
24N02504	24N02504	Cluster_8
24N02505	24N02505	Cluster_8
24N02506	24N02506	Cluster_8
24N02507	24N02507	Cluster_8
24N02508	24N02508	Cluster_8
24N02517	24N02517	Cluster_9
24N02518	24N02518	Cluster_9
24N02519	24N02519	Cluster_9
24N02520	24N02520	Cluster_9
24N02521	24N02521	Cluster_9
24N02522	24N02522	Cluster_9
24N02523	24N02523	Cluster_9
24N02524	24N02524	Cluster_9
24N02525	24N02525	Cluster_9
24N02526	24N02526	Cluster_9
24N02527	24N02527	Cluster_9
24N02528	24N02528	Cluster_9
24N02535	24N02535	Cluster_10
24N02536	24N02536	Cluster_10
24N02537	24N02537	Cluster_10
24N02538	24N02538	Cluster_10
24N02539	24N02539	Cluster_10
24N02540	24N02540	Cluster_9
24N02541	24N02541	Cluster_9
24N02542	24N02542	Cluster_9
24N02616	24N02616	Cluster_11
24N02617	24N02617	Cluster_11
24N02618	24N02618	Cluster_11
24N02622	24N02622	Cluster_11
24N02623	24N02623	Cluster_11
24N02624	24N02624	Cluster_11
24N02682	24N02682	Cluster_12
24N02683	24N02683	Cluster_12
24N02684	24N02684	Cluster_12
24N02685	24N02685	Cluster_12
24N02686	24N02686	Cluster_12
24N02687	24N02687	Cluster_12
24N02688	24N02688	Cluster_12
24N02689	24N02689	Cluster_12
24N02690	24N02690	Cluster_12
24N02691	24N02691	Cluster_12
24N02692	24N02692	Cluster_12
24N02693	24N02693	Cluster_12
24N02794	24N02794	Cluster_13
24N02795	24N02795	Cluster_13
24N02796	24N02796	Cluster_13
24N02797	24N02797	Cluster_13
24N02799	24N02799	Cluster_13
24N02800	24N02800	Cluster_13
24N02801	24N02801	Cluster_13
24N02802	24N02802	Cluster_13
24N02804	24N02804	Cluster_13
24N02815	24N02815	Cluster_14
24N02816	24N02816	Cluster_14
24N02817	24N02817	Cluster_14
24N02818	24N02818	Cluster_14
24N02819	24N02819	Cluster_14
24N02820	24N02820	Cluster_14
24N02821	24N02821	Cluster_14
24N02822	24N02822	Cluster_14
24N02823	24N02823	Cluster_14
24N02824	24N02824	Cluster_14
24N02825	24N02825	Cluster_14
24N02826	24N02826	Cluster_14
